Question Text,Correct Answer
What is a Bayesian Network primarily used to represent?,A graphical representation of conditional independence relationships among random variables|A list of all possible logical entailments|A sequence of definitive logical steps|A physical network of hardware nodes
What type of graph is used to represent a Bayesian Network?,Directed acyclic graph|Undirected cyclic graph|Bipartite graph|Tree with unlimited cycles
In a Bayesian Network what do the nodes represent?,Random variables|Inference algorithms|Truth tables|Specific physical locations
What does a directed edge from node A to node B indicate in a Bayesian Network?,Node A directly influences node B|Node A is completely independent of node B|Node B directly influences node A|Both nodes are mutually exclusive
What is attached to each node in a Bayesian Network to quantify the effect of its parents?,A conditional probability table|A truth table|A logical assertion|An existential quantifier
How does a Bayesian Network reduce the complexity of full joint probability distributions?,It provides a compact specification using conditional independence|It eliminates all variables with low probability|It converts all probabilities to boolean logic|It forces all variables to be completely independent
In the standard Alarm example what directly influences the JohnCalls and MaryCalls nodes?,The Alarm node|The Burglary node directly|The Earthquake node directly|The Weather node
How is the full joint probability distribution calculated from a Bayesian Network?,As the product of the conditional probability of each node given its parents|As the sum of all conditional probabilities|By adding the prior probabilities of all nodes|By multiplying all nodes regardless of parent relations
What is a key requirement when ordering variables to construct a Bayesian Network?,Causes should generally be added before their effects|The nodes must be added in alphabetical order|Effects must always precede their causes|All mutually exclusive variables must be added first
What formula is satisfied when parents are correctly assigned during the construction of a Bayesian Network?,The probability of a node given its predecessors equals the probability of the node given its parents|The probability of a node given its parents equals exactly one|The sum of all probabilities equals one|The joint probability equals the marginal probability
Why are Bayesian Networks built from causal relationships considered better?,They are more natural to people and usually require fewer CPT entries|They eliminate the need for probabilities entirely|They ensure the graph has no edges|They transform a directed graph into an undirected graph
For a boolean variable with k boolean parents what is the size of its conditional probability table?,Two to the power of k|k to the power of two|k multiplied by two|Exactly k
According to the local semantics of a Bayesian Network a node is conditionally independent of what set of nodes given its parents?,Its non-descendants|Its direct children|Its immediate ancestors only|All other nodes in the entire network
What statement is true regarding the sample value of a variable in a Bayesian Network?,It depends on the sample values of its parents|It is always completely random|It is determined solely by its children|It is independent of all other variables
Do the conditional probability tables provide sufficient information to compute all conditional probabilities among variables in the network?,Yes they provide all necessary information|No external rules must be provided|No they only work for independent nodes|Yes but only for continuous variables
