Question Text,Correct Answer
What is the basic task of inference in a Bayesian Network?,To compute the posterior probability distribution for query variables given observed evidence|To find the single most likely state of all variables|To construct the network topology from raw data|To eliminate all hidden variables from the model
Exact inference by enumeration in a Bayesian Network with discrete variables belongs to which complexity class?,NP-hard|Linear|Constant|Polynomial
What do we do with hidden variables during exact inference by enumeration?,We sum them out using the law of total probability|We assign them random values|We ignore them completely|We treat them as query variables
Why are approximate inference methods like sampling often preferred over exact inference in large Bayesian Networks?,Exact inference is computationally intractable for very large networks|Sampling always provides a completely error free result|Exact inference cannot handle conditional independence|Sampling does not require conditional probability tables
What is the simplest form of random sampling for a Bayesian Network with no evidence variables?,Direct sampling or Prior sampling|Rejection sampling|Likelihood weighting|Markov chain Monte Carlo
In direct sampling how is the value of each variable generated?,In topological order based on the conditional probability given its already sampled parents|In reverse topological order starting from the leaves|Randomly without considering any parent values|By selecting the value with the highest absolute probability
How does rejection sampling handle evidence variables?,It discards any generated sample that does not match the observed evidence|It forces the evidence variables to take the observed values during generation|It assigns a weight to each sample based on the evidence|It randomly changes the evidence values to match the sample
What is the main disadvantage of rejection sampling when evidence is rare?,It rejects too many samples making it highly inefficient|It requires too much memory to store the rejected samples|It forces the network to become fully connected|It loops infinitely and never terminates
How does likelihood weighting improve upon rejection sampling?,It fixes evidence variables to their observed values and weights the sample by the likelihood of the evidence|It entirely removes the evidence variables from the network|It accepts all samples equally without checking evidence|It changes the network structure to make evidence more common
In likelihood weighting what determines the weight of a generated sample?,The product of the conditional probabilities of the evidence variables given their parents|The sum of the prior probabilities of all hidden variables|The number of variables in the entire network|The total number of generated samples
What does MCMC stand for in the context of approximate inference?,Markov Chain Monte Carlo|Maximum Conditional Marginal Calculation|Multiple Case Model Checking|Markov Conditional Model Computation
How does MCMC generate a new sample state from the current state?,By randomly changing the value of one non evidence variable conditioned on its Markov blanket|By regenerating all variables from scratch using direct sampling|By discarding the current state if it violates the evidence|By flipping all boolean variables simultaneously
In supervised learning with Bayesian Networks how is the class label treated during training?,It is treated as one of the features or variables in the network|It is ignored until the testing phase|It is used solely as a normalization constant|It is removed to ensure conditional independence
How are the conditional probability tables populated during probabilistic learning from a dataset?,By calculating the proportions of query values conditioned on evidence values in the training data|By using a random number generator for all initial values|By assigning a uniform probability distribution to all nodes|By asking a domain expert to estimate every value
How does a trained Bayesian Network classify a new unseen instance?,By finding the class value that maximizes the probability given the observed feature values using inference|By directly matching the new instance to an exact copy in the training set|By randomly selecting a class based on prior probabilities alone|By returning the class that appeared most frequently in the training data regardless of features
